IdentyfikatorZespolu,NazwaZespolu,IloscCzlonkowZespoluBezStazystow,IloscStazystow
0,887164cd-c416-40ef-b94e-dc3f4c1590ef,3,0
1,6043faa1-4bb2-48aa-8130-f8b2778a0f24,3,0
2,ac7da090-7dd5-4355-9e96-d5f8e9b14969,4,2
3,85e38ae1-8374-48eb-b53e-3348b4ed26a0,2,1
4,2c5924f6-cd52-4398-81b8-a80a3678fe90,1,0
5,3da6e8cf-08ed-41e1-bba5-a8ba04d21c64,9,3
6,70343db3-156d-409e-a8bd-c54bce0e08d9,8,0
7,1c198be4-4d21-4708-a712-4d869e0ebf73,2,1
8,5736efb6-56ac-4c15-b089-3173650f47ab,6,1
9,47dbde64-a5ef-4e34-9928-3d6e7fa7dd4d,6,0
10,d525fc36-1981-4f79-b6f4-bb103564b26b,1,0
11,8ea851e7-316a-43b8-8659-a2aa343230e2,4,2
12,f9927b4c-0832-4f93-9ec8-0511e6fbcb89,9,0
13,1f0fb848-b46d-4142-8323-1e89577dc8a9,1,0
14,c04dccbe-8c7b-4fe0-9345-b93867cd9886,6,0
15,d49af73d-8f71-45dc-8391-17a492479b04,4,0
16,2ba68595-8e4c-4c53-a1c2-69bdbd89c246,6,0
17,d159f2aa-ea4c-4b3e-8c5e-441002af34a3,8,0
18,c16ac22e-38f9-4f7a-aa69-808827a5e343,8,0
19,3421d97b-04b8-40e0-ba06-622c54741398,9,0
20,2eb56426-287d-46a2-ae12-b6d844075be0,6,0
21,6e1eba02-b7eb-47b7-9d2f-91fa0039fa5d,4,1
22,db7fbc3f-880d-4e50-a91c-829622873aed,10,0
23,090825b5-ad4a-4ecf-9f1d-9f19cfe842fe,1,0
24,657dffaf-240b-44a9-acb5-74b2389873bd,9,0
25,8cf92df1-7c6e-4f7c-b00f-0f73498694b0,6,0
26,53405240-4928-4cf4-99dc-db583e4eeeb3,10,3
27,1e2cca0b-840c-4246-bcc4-46f90c2cae8e,5,0
28,2c404d2f-1950-4ee3-b113-80cf78918b31,5,2
29,b71df483-5615-4bdc-874e-97122565d440,4,1
30,fc7aab0e-fa9b-44c1-b779-aa70e93996cb,8,0
31,69ba02f1-7391-48ae-b8a4-5a713f0e568c,4,0
32,1736ed85-20eb-4d5a-98fe-24bcbf01cd56,8,1
33,afda974e-8c6f-44b8-a9c4-ef0062012252,6,1
34,f8cf8741-b271-4214-82aa-417fa25048f2,1,0
35,3007140e-97d6-48e1-9a21-0c2d9376aa8f,6,3
36,192a2ca3-70eb-4dfa-ad71-60c2a52b3723,10,0
37,e775ed81-2297-4482-bbf6-82d7bc25e2f6,1,1
38,3cf009e5-0b61-45fb-b65e-af5db2d3b6b8,8,0
39,4e0d5f7b-a70f-4f50-b9b9-850952c63cb5,4,0
40,8dd81a16-8c84-49a7-8559-af0e7f42f0a1,8,3
41,9fe1fe31-d48d-4fb0-a792-486577ce5a94,9,0
42,bd7a97bb-cf55-40ac-acb0-e9525c0dc197,6,2
43,25f24662-78d7-41a1-9cc4-5121b0c281ca,10,1
44,c9a0ed02-7b97-458f-9e00-62a1a937c397,4,1
45,e808226f-3f3c-4f43-ae98-70afdc13f28a,10,3
46,beaed8a5-d51a-40c3-86aa-677a3efea751,10,2
47,0b44d19b-7a00-4b46-a2f1-579cf0931f80,8,0
48,03b08e56-dcf5-4c3f-85af-b66d5b178846,8,0
49,c04f9b4a-eea4-46b6-9ecf-173301e95421,10,0
50,51aa13f1-fd56-4f6b-a97f-c5a03f534388,8,0
51,806587b0-a281-465e-877b-15f3a66553aa,7,0
52,5bc34940-e215-4a45-93e4-71fef7aa019b,2,2
53,5e1a6c2e-77c3-491a-921e-1d5b83b8b9d6,6,3
54,b96c54d1-5ba7-434a-92cf-3c37d4ac4b9c,1,1
55,6447e685-0fbd-4c1c-ad7f-68cd9aa10926,7,0
56,defa8957-a4a0-4dee-895e-684da08e6549,10,0
57,b8705d5c-1f00-475e-9fe2-e93513234456,4,0
58,14e97b12-c329-41da-bded-c92da89c1d9b,10,3
59,3f97a0fb-3892-4b7c-af85-97845d884b74,9,0
